model,repeat,growthrate,matchrate,radius,avgpathlength,nodeconnectivity,center,density,components,nodecount,avgcluscoeff,,Overall Model Comparison,,,,,,,,,
random,20,2,5,3,2.782608696,1,"[0, 7, 9]",0.134387352,1,23,0.199792961,,,,,,,,,,,
random,20,2,3,3,2.608695652,1,"[0, 1, 2, 3, 4, 13]",0.134387352,1,23,0.153381643,,,,,,,,,,,
model,20,2,3,4,3.18972332,1,"[5, 6, 9, 12]",0.126482213,1,23,0.14057971,,,,,,,,,,,
model,14,2,5,6,3.292473118,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 13, 17, 19]",0.124731183,1,31,0.144546851,,,,,,,,,,,
random,20,2,7,4,2.916996047,1,"[2, 4, 6, 8, 11, 13, 15]",0.122529644,1,23,0.179710145,,,,,,,,,,,
model,10,2,5,4,3.83982684,1,[0],0.121212121,1,22,0.172727273,,,,,,,,,,,
random,20,2,5,4,3.268774704,1,"[1, 3, 4]",0.118577075,1,23,0.105797101,,,,,,,,,,,
random,20,2,6,3,3.146245059,1,[6],0.118577075,1,23,0.11552795,,,,,,,,,,,
model,20,2,2,5,3.841897233,1,[5],0.118577075,1,23,0.147826087,,,,,,,,,,,
random,10,2,5,3,3.003952569,1,"[8, 12]",0.114624506,1,23,0.135196687,,,,,,,,,,,
model,20,2,7,6,4.66798419,1,[2],0.114624506,1,23,0.130434783,,,,,,,,,,,
random,20,2,4,4,3.245059289,1,[4],0.110671937,1,23,0.09068323,,,,,,,,,,,
random,12,2,5,4,3.287749288,1,"[3, 6, 7]",0.105413105,1,27,0.103439153,,,,,,,,,,,
random,14,2,5,4,3.219354839,1,[0],0.096774194,1,31,0.128264209,,,,,,,,,,,
random,20,3,5,4,3.16733871,1,"[0, 1, 2, 3, 4]",0.092741935,1,32,0.060491071,,,,,,,,,,,
model,16,2,5,5,3.607843137,1,"[0, 2, 13, 15, 20]",0.087344029,1,34,0.087254902,,,,,,,,,,,
model,18,2,5,7,4.588394062,1,[10],0.078272605,1,39,0.083475783,,,,,,,,,,,
model,20,2,5,5,3.53709856,1,"[1, 2, 3, 4, 6, 10, 11, 12, 15, 18]",0.074197121,1,43,0.065116279,,,,,,,,,,,
random,20,2,5,3,3.164924506,1,[1],0.073170732,1,42,0.039984883,,,,,,,,,,,
model,20,4,5,5,4.123170732,1,[14],0.073170732,1,41,0.042276423,,,,,,,,,,,
random,16,2,5,4,3.670588235,1,[3],0.068907563,1,35,0.069931973,,,,,,,,,,,
random,20,4,5,4,3.842682927,1,[4],0.059756098,1,41,0.074041812,,,,,,,,,,,
random,20,5,5,5,4.086530612,1,"[0, 1, 2, 3, 4, 8, 9, 11]",0.050612245,1,50,0.042857143,,,,,,,,,,,
model,20,5,5,6,5.496326531,1,"[0, 1, 2, 3, 4]",0.048979592,1,50,0.06,,,,,,,,,,,
model,20,7,5,5,5.012291484,1,"[0, 1, 2, 3, 4, 5, 6]",0.035996488,1,68,0.04754902,,,,,,,,,,,
model,20,6,5,7,7.223261251,1,[3],0.034482759,1,59,0.025423729,,,,,,,,,,,
model,20,8,5,5,4.616883117,1,"[0, 1, 2, 3, 4]",0.033151059,1,77,0.037724181,,,,,,,,,,,
random,20,7,5,6,5.119841967,1,"[0, 2, 3, 13]",0.031606673,1,68,0,,,,,,,,,,,
random,20,9,5,6,4.829274966,1,"[0, 1, 2, 3, 4]",0.025991792,1,86,0.027014329,,,,,,,,,,,
model,20,9,5,5,5.437756498,1,"[0, 1, 2, 3, 4]",0.025991792,1,86,0.024252492,,,,,,,,,,,
random,8,2,5,0,0,0,[11],0,1,1,0,,,,,,,,,,,
random,20,6,5,0,0,0,[36],0,1,1,0,,,,,,,,,,,
model,20,2,4,0,0,0,[13],0,1,1,0,,,,,,,,,,,
